id,username,full_name,birthday,phone,sec_level,status,password_hash,created_at
53316d33-81f3-4d57-8a88-f25f7c0ea6ab,polikarp_39_emp,Зинаида Тимофеевна Гуляева,1972-12-06 00:00:00,+7 395 624 26 46,3,inactive,a42bf8e5cfcb42985c7eced82afdbfe21644870eb519dd6134a15e716b5123e0,2025-03-25 11:15:24
658cb972-0bd8-4e76-9814-f7b6c8d826bd,ivansamsonov_emp,Юлия Эдуардовна Соловьева,1973-05-20 00:00:00,+7 (610) 322-03-62,3,inactive,4320afb9d3ae061fa22e2e7d4b28afd177feba1379230931e0e858efe4995f0d,2026-02-01 18:35:39
14da04d8-6645-4c88-afbc-83a01b4d1263,moke22_emp,Марфа Макаровна Рогова,1976-03-22 00:00:00,8 150 426 0373,3,active,38e49960f9e350cc173e1bae1dea526049c649a1413e14ee360a591927ee0da3,2024-09-05 11:50:49
7277bbf3-61d9-4f3a-9dd0-9c5829a61d38,jan2000_emp,Евпраксия Матвеевна Субботина,1973-03-06 00:00:00,87657624207,1,inactive,cfc2e9394c135b0667415e3b80dc37b50812ef570d9573d64796a54f765149d1,2025-01-09 17:54:17
0dccc85e-ff8c-4b89-a2e5-2d68a450e266,kozlovanonna_emp,Елизар Эдгардович Гущин,1983-11-11 00:00:00,8 731 664 34 73,3,inactive,a7ea7023c87a4964096a899cc4b557b1d43eb5596a7626af715769401193d37c,2025-07-16 11:04:36
5626d650-cef6-443a-8d1f-61aff974e528,ermilmerkushev_emp,г-жа Якушева Нинель Болеславовна,1990-08-24 00:00:00,+7 046 191 91 02,1,active,c7514417b084f912dd26e3d8e7ce90fb3599952003ba16b63678d71e6d2434ab,2025-02-13 15:43:36
98a7ad04-976f-4a1f-9a4e-2cc4d7cc73a1,jfadeeva_emp,тов. Кабанова Галина Кирилловна,1990-08-03 00:00:00,87348213875,1,inactive,dcfed080c0fddc9a03e60fc3e519c4a83c2e7948cfc9b9197df11f7130b54a35,2026-04-15 08:24:58
96032794-c8cb-47f0-9d42-dc35caefb6d4,belozerovfeliks_emp,Михеев Фока Харитонович,1993-07-04 00:00:00,+7 (243) 731-1975,3,active,01fcde3336a0299b1ccd58425fdf12d800c87f84474a099b18562a7afba85a0a,2024-10-28 01:09:36
f090b8a0-c79f-4484-b609-c81063a3101c,antoninashashkova_emp,Анжелика Георгиевна Носкова,1981-12-01 00:00:00,88144083837,3,active,e7735d8614057ebc5b692f636b784eaf7fbf990b585d4195b20d398c8837a881,2025-11-09 13:47:12
d966ef51-de55-4ca4-b2e9-ae366b64a2c8,taisijaguljaeva_emp,Мокей Власович Медведев,1971-10-12 00:00:00,+7 (204) 973-6810,3,active,4fe89e1941317313959e8cfe3a5426b610c4fe3f05b2a62a28830766b46927b2,2025-04-07 10:12:40
da261de0-4a2e-4cec-aa13-c79294dfdb39,rponomareva_emp,тов. Калашников Епифан Виленович,1981-09-08 00:00:00,8 832 971 40 76,2,active,c6dcdd02befa06e83b43cf33ff0fb691700ddf3f506523ccf81f2a320e96c662,2024-07-27 08:22:06
3d8e1efe-dabe-4e37-8f44-ed067fd86cce,eliseevpankrat_emp,Корнилов Савелий Августович,1976-05-17 00:00:00,8 083 648 2842,3,inactive,acffc44d0d394dbcbaaf5fc660d5e43ecce3482291735d9e6be139a91f61b678,2024-09-06 18:03:54
eddfa16c-17e6-4af0-b448-b1ba323469ed,lorakopilova_emp,Савин Чеслав Еремеевич,1995-12-22 00:00:00,87204930324,3,active,5bd3cb070bc65917116592c470a038cd9867fdd0718f6f26f17de42df8d7b8ff,2024-07-26 02:26:58
